Routeid,Stop,Latitude,Longitude
140103,1,-118.556479,34.575844
140103,2,-118.5565,34.57615
140103,3,-118.5612,34.588583
140103,4,-118.557917,34.601683
140103,5,-118.561983,34.611333
140103,6,-118.556583,34.622233
140103,7,-118.5429,34.63025
140103,8,-118.5256,34.639883
140103,9,-118.511067,34.6443
140103,10,-118.486983,34.648517
140104,1,-118.10488,34.257587
140105,1,-117.578193,33.643783
140106,1,-116.787932,33.199741
140107,1,-116.665451,33.657456
140108,1,-121.695833,36.453333
140108,2,-121.681667,36.446389
140108,5,-121.682778,36.428333
140108,6,-121.676944,36.418333
140108,8,-121.657778,36.401667
140109,1,-115.411605,35.174381
140110,1,-118.569984,35.778655
140111,1,-117.689437,34.385904
140112,1,-117.940567,34.506397
140112,2,-117.940283,34.491911
140112,3,-117.924686,34.484655
140112,4,-117.907858,34.478333
140112,5,-117.89388,34.468798
140112,6,-117.879159,34.463106
140112,7,-117.864895,34.460376
140112,8,-117.854653,34.44944
140112,9,-117.842811,34.439444
140112,10,-117.835281,34.440904
140113,1,-116.892806,34.081393
140114,1,-120.235427,34.737572
140116,1,-118.09899,36.507472
140117,1,-118.654777,36.466426
140118,1,-119.046934,34.7479
140118,2,-119.0511,34.7573
140118,3,-119.0679,34.7543
140118,4,-119.08136,34.745
140118,5,-119.0944,34.7344
140118,6,-119.10705,34.7242
140118,7,-119.122,34.7178
140118,8,-119.13515,34.720591
140118,9,-119.151,34.72456
140118,10,-119.1667,34.7275
140119,1,-117.41014,33.648421
140120,1,-117.392867,33.238036
140121,1,-116.471801,32.890632
140122,1,-116.676848,32.984366
140123,1,-120.854758,35.637347
140124,1,-116.851173,36.437308
140125,1,-119.349105,35.05804
140126,1,-116.798942,33.50046
140128,1,-118.206,35.548523
140129,1,-117.676612,34.174888
140130,1,-117.063957,34.245255
140131,1,-116.162978,34.015604
140132,1,-118.908477,36.827694
140133,1,-118.39535,34.668617
140133,2,-118.378717,34.660217
140133,3,-118.3783,34.643117
140133,4,-118.39215,34.63305
140133,5,-118.414683,34.621583
140133,6,-118.432133,34.6141
140133,7,-118.447883,34.602167
140133,8,-118.459067,34.59105
140133,9,-118.4634,34.572483
140133,10,-118.481017,34.5648
140134,1,-119.557365,34.81879
140135,1,-119.576896,33.998116
140136,1,-119.668532,34.67396
140137,1,-116.200233,32.611999
140138,1,-120.50846,35.318381
140139,1,-116.500869,36.051194
140140,1,-119.729873,35.093168
140141,1,-118.845099,35.816306
140145,1,-119.29621,35.477943
140147,1,-118.878242,35.223369
140148,1,-122.06536,39.550978
140149,1,-120.67015,37.244281
140150,1,-115.535643,32.941658
140151,1,-120.337546,41.23495
140152,1,-121.458846,38.49603
140153,1,-120.925315,38.76876
140154,1,-118.655158,37.63672
140155,1,-121.161048,37.514429
140156,1,-119.803519,37.747266
140157,1,-120.666892,38.375514
140158,1,-120.425529,39.615573
140159,1,-121.608977,39.49824
140160,1,-123.398291,39.566485
140161,1,-121.915725,40.335708
140162,1,-120.111487,40.491122
140163,1,-122.322486,40.672485
140164,1,-123.031745,40.685133
140165,1,-120.375312,41.733278
140166,1,-121.891967,42.000263
140167,1,-123.476356,41.379013
140168,1,-122.010901,41.822142
140169,1,-122.135551,41.23232
140170,1,-119.221885,38.259275
140171,1,-120.261069,36.661093
140172,1,-122.146392,37.818701
140173,1,-121.064422,35.92226
140175,1,-122.049865,41.400403
140176,1,-121.069045,41.81869
140177,1,-120.171851,41.529575
140178,1,-123.605163,40.173003
140179,1,-122.638725,40.027959
140180,1,-121.5755,40.117337
140181,1,-120.623839,40.20144
140182,1,-123.482909,39.687704
140183,1,-122.709624,39.184679
140184,1,-121.009955,39.068693
140185,1,-120.82801,39.560219
140186,1,-122.720331,38.549197
140186,2,-122.725472,38.536561
140186,3,-122.719425,38.524478
140186,4,-122.718461,38.508939
140186,5,-122.738225,38.502992
140186,6,-122.735447,38.502992
140186,7,-122.718461,38.508939
140186,8,-122.719425,38.524478
140186,9,-122.725472,38.536561
140186,10,-122.720331,38.549197
