"ProjectName","RouteName","PointID","Interval1","Interval2","Interval3","Interval4","Interval5","Interval6","Interval7","Interval8","Interval9","Interval10","file","year"
"DEEP- Summer Night Bird Surveys","NB89","NB89-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-04","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-07","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-07","1","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-08","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-08","1","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-09","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-10","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB89","NB89-10","0","0","0","0","0","1","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-01","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-01","0","1","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-04","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-07","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-08","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-09","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-09","0","1","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW18","OW18-10","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW67","OW67-01","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW67","OW67-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW67","OW67-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW67","OW67-04","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW67","OW67-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","OW67","OW67-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
