"id","Route.Stop","state","name","created_at","updated_at","Route.Latitude","Route.Longitude","year","stop_des","wind","sky","noise","cars","moon","dir","species","min.1","min.2","min.3","min.4","min.5","min.6"
"NH02",4,"NH","Canterbury","","",43.363,-71.633,2013,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",4,"NH","Canterbury","","",43.363,-71.633,2022,"",0,1,"0","1","","","EWPW",1,1,1,1,1,1
"NH02",4,"NH","Canterbury","","",43.363,-71.633,2016,"",0,0,"1","3","","","NONE",0,0,0,0,0,0
"NH02",4,"NH","Canterbury","","",43.363,-71.633,2019,"",0,0,"0","0","","","NONE",0,0,0,0,0,0
"NH02",4,"NH","Canterbury","","",43.363,-71.633,2022,"",0,1,"0","1","","","EWPW",1,1,1,0,0,0
"NH02",4,"NH","Canterbury","","",43.363,-71.633,2014,"",0,0,"0","1","","","NONE",0,0,0,0,0,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2022,"",0,1,"0","0","","","EWPW",1,1,0,0,1,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2018,"",0,0,"1","2","","","EWPW",0,0,0,1,0,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2020,"",0,1,"0","0","","","EWPW",0,1,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2021,"",0,0,"2","1","","","EWPW",0,1,1,0,0,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2020,"",0,1,"0","0","","","EWPW",1,1,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2022,"",0,1,"0","0","","","EWPW",0,0,0,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2022,"",0,1,"0","0","","","EWPW",1,1,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2014,"",0,0,"1","0","","","EWPW",1,1,1,0,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2018,"",0,0,"1","2","","","EWPW",0,1,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2017,"",1,0,"1","1","","","EWPW",1,1,1,1,1,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2017,"",1,0,"1","1","","","EWPW",0,0,1,1,0,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2021,"",0,0,"2","1","","","EWPW",1,1,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2016,"",0,0,"2","1","","","EWPW",0,0,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2015,"",0,1,"0","2","","","EWPW",0,1,1,0,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2013,"",0,0,"1","0","","","EWPW",0,1,0,0,0,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2017,"",1,0,"1","1","","","EWPW",1,1,0,0,0,0
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2015,"",0,1,"0","2","","","EWPW",1,1,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2019,"",0,0,"2","0","","","EWPW",1,1,1,1,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2014,"",0,0,"1","0","","","EWPW",0,0,0,0,1,1
"NH02",5,"NH","Canterbury","","",43.372,-71.62,2012,"",1,0,"1","0","","","EWPW",0,1,1,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2017,"",1,0,"0","1","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2021,"",0,0,"2","4","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2018,"",0,0,"2","1","","","EWPW",0,0,0,0,0,1
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2020,"",0,2,"0","2","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2013,"",0,0,"2","1","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2015,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2016,"",0,0,"2","0","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2022,"",0,1,"2","0","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2014,"",0,0,"1","1","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2019,"",0,1,"2","1","","","NONE",0,0,0,0,0,0
"NH02",6,"NH","Canterbury","","",43.381,-71.619,2012,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2013,"",0,0,"1","1","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2021,"",0,0,"0","1","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2017,"",1,0,"0","0","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2022,"",0,1,"1","0","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2015,"",0,0,"0","1","","","EWPW",0,0,0,0,0,1
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2020,"",0,1,"0","3","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2014,"",0,0,"0","2","","","EWPW",1,1,1,1,1,1
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2018,"",0,0,"1","1","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2019,"",0,1,"1","0","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2016,"",0,0,"1","1","","","NONE",0,0,0,0,0,0
"NH02",7,"NH","Canterbury","","",43.391,-71.631,2012,"",1,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2013,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2021,"",0,0,"0","0","","","EWPW",1,1,1,1,1,1
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2014,"",0,0,"1","0","","","NONE",0,0,0,0,0,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2022,"",0,1,"0","0","","","EWPW",1,1,1,1,1,1
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2018,"",0,0,"1","2","","","EWPW",0,0,1,1,1,1
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2015,"",0,0,"0","3","","","NONE",0,0,0,0,0,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2017,"",1,0,"0","1","","","NONE",0,0,0,0,0,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2016,"",0,0,"0","2","","","NONE",0,0,0,0,0,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2019,"",0,1,"0","1","","","EWPW",0,0,0,0,1,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2020,"",1,2,"0","0","","","NONE",0,0,0,0,0,0
"NH02",8,"NH","Canterbury","","",43.405,-71.636,2012,"",1,0,"1","3","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2012,"",1,0,"1","1","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2015,"",0,0,"0","2","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2020,"",0,2,"0","0","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2018,"",0,0,"0","1","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2022,"",0,1,"0","0","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2017,"",1,0,"0","0","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2013,"",0,0,"0","2","","","NONE",0,0,0,0,0,0
"NH02",9,"NH","Canterbury","","",43.417,-71.641,2016,"",0,0,"1","1","","","NONE",0,0,0,0,0,0
