"random_route_name","selected","existing_route","Longitude.existing","Latitude.existing","distance","X.random","Y.random","ST","BCR"
"28-PA-443",0,"PA_0030",-76.903832,41.874773,3.56050672817395,-76.8381315532949,41.8909864036652,"PA",28
"28-PA-446",0,"PA_0038",-75.764867,41.705717,8.82112268577032,-75.5993404653447,41.6737712586953,"PA",28
"28-PA-446",0,"PA_9293",-75.792779,41.705712,10.2217363663351,-75.5993404653447,41.6737712586953,"PA",28
"28-PA-448",0,"PA_0037",-75.389356,41.115996,4.39723256251774,-75.3228636202961,41.076761160414,"PA",28
"28-PA-404",1,NA,NA,NA,NA,-79.8955756289064,41.437249035837,"PA",28
"28-PA-405",1,"PA_9232",-76.065127,41.962843,15.6399045752542,-76.3688486691086,41.9785527261161,"PA",28
"28-PA-406",1,"PA_0067",-77.894209,40.695694,18.0405987985498,-77.5498619714083,40.6924589974738,"PA",28
"28-PA-406",1,"PA_0072",-77.396903,40.568051,11.7566501457561,-77.5498619714083,40.6924589974738,"PA",28
"28-PA-406",1,"PA_0069",-77.54157,40.7019,0.783700631190493,-77.5498619714083,40.6924589974738,"PA",28
"28-PA-406",1,"PA_0904",-77.7743,40.6866,11.7653471130313,-77.5498619714083,40.6924589974738,"PA",28
"28-PA-406",1,"PA_0906",-77.747863,40.650362,10.7761195434578,-77.5498619714083,40.6924589974738,"PA",28
"28-PA-406",1,"PA_9327",-77.824171,40.76661,15.2489394823709,-77.5498619714083,40.6924589974738,"PA",28
"28-PA-406",1,"PA_9328",-77.903784,40.703879,18.5564606336327,-77.5498619714083,40.6924589974738,"PA",28
"28-PA-407",1,"PA_0058",-78.57669,40.667704,14.1584419445526,-78.4510712105721,40.8491900270789,"PA",28
"28-PA-412",1,"PA_0022",-77.120346,41.658801,4.77713447372403,-77.0593337944719,41.6068311711243,"PA",28
"28-PA-412",1,"PA_0132",-76.963325,41.551283,6.27324711872786,-77.0593337944719,41.6068311711243,"PA",28
"28-PA-415",1,NA,NA,NA,NA,-79.5503136357032,41.1392349598871,"PA",28
"28-PA-417",1,"PA_0060",-78.060484,40.915054,18.2377099193943,-77.7194967268704,40.9727920898831,"PA",28
"28-PA-419",1,NA,NA,NA,NA,-78.7337423173186,41.8365800634188,"PA",28
